id,lastname,firstname,middlename,birthday,country
440,Симонов,Тамара,Анисимович,1947-01-11,Демократическая Республика Конго
441,Лихачев,Мефодий,Брониславович,1965-07-01,Туркмения
442,Тарасова,Эмилия,Адрианович,1977-11-23,Албания
443,Доронин,Любовь,Ааронович,1999-02-22,Федеративные Штаты Микронезии
444,Пономарев,Аггей,Макаровна,1994-09-02,Гаити
445,Яковлева,Аркадий,Елисеевич,1977-10-29,Фиджи
446,Тетерин,Акулина,Глебович,1939-01-31,Хорватия
447,Давыдова,Лавр,Юльевна,1946-02-17,Гвинея-Бисау
448,Крюков,Наина,Мироновна,1961-10-12,Тонга
449,Богданова,Макар,Евстигнеевич,1941-02-10,Монголия
450,Ильина,Ульяна,Алексеевич,1916-07-05,Турция
451,Ильина,Ия,Максимовна,1995-11-17,Дания
452,Уварова,Владимир,Эльдаровна,1922-03-07,Сингапур
453,Владимиров,Ювеналий,Якубович,1931-08-13,Египет
454,Ермаков,Евдоким,Бориславович,1945-12-25,Куба
455,Андреев,Мина,Феофанович,1913-06-21,Сальвадор
456,Пестова,Фирс,Вячеславович,1914-04-04,Венгрия
457,Мясникова,Данила,Юльевич,1929-06-16,Армения
458,Блинов,Святополк,Филиппович,1934-10-08,Куба
459,Шаров,Евлампий,Жоресович,1982-08-31,Зимбабве
460,Алексеев,Лавр,Гурьевич,1931-06-28,Гондурас
461,Тихонова,Мокей,Валерьянович,1937-05-18,Румыния
462,Ильин,Варвара,Юльевна,1948-05-03,Республика Корея
463,Лыткин,Эрнст,Анатольевич,1943-02-26,Кения
464,Соловьев,Дорофей,Елисеевич,1955-03-06,Самоа
465,Суханова,Лора,Матвеевна,1970-11-01,Лихтенштейн
466,Якушева,Порфирий,Марсович,1975-12-12,Экваториальная Гвинея
467,Пономарева,Эмиль,Фадеевич,1909-07-05,Норвегия
468,Терентьева,Леонид,Изотович,2006-11-07,Лесото
469,Мухина,Варлаам,Давыдович,1938-09-19,Казахстан
470,Аксенов,Илья,Федосеевич,1979-11-26,Аргентина
471,Игнатов,Ефрем,Викторович,2001-07-14,Гондурас
472,Кудряшов,Викторин,Валерьянович,1915-01-06,Кирибати
473,Лукина,Владлен,Юрьевна,1941-07-07,Ливия
474,Суханова,Александра,Фомич,1962-11-20,Экваториальная Гвинея
475,Ларионов,Руслан,Демьянович,2019-08-30,Словакия
476,Титова,Юлия,Евстигнеевич,1964-04-07,Андорра
477,Фадеев,Анжела,Германович,1981-01-05,Доминиканская Республика
478,Журавлева,Доброслав,Леонидовна,1953-12-14,Восточный Тимор
479,Агафонова,Константин,Фёдорович,1992-12-14,Сирия
480,Мамонтова,Любомир,Яковлевич,2019-05-11,Иран
481,Ситникова,Архип,Ефремович,1985-04-20,Грузия
482,Уваров,Любовь,Дмитриевна,2013-09-09,Люксембург
483,Кошелева,Сидор,Васильевна,1987-10-05,Тунис
484,Белозеров,Александра,Дмитриевна,1921-04-30,Науру
485,Белов,Павел,Захарьевич,1973-01-26,Япония
486,Рябова,Амос,Викентьевич,1998-09-21,Гана
487,Блинова,Всемил,Владленович,1951-06-27,Эсватини
488,Корнилов,Глафира,Афанасьевич,1939-06-06,Латвия
489,Белоусов,Будимир,Ниловна,1939-11-24,Кабо-Верде
490,Терентьева,Лора,Харлампович,2018-05-27,Великобритания
491,Давыдова,Вероника,Ермолаевич,1959-06-09,Пакистан
492,Одинцова,Виктория,Аксёнович,1961-02-20,Кувейт
493,Коновалов,Виссарион,Денисович,2009-11-30,Латвия
494,Белова,Максимильян,Артурович,1944-12-19,Германия
495,Пестова,Егор,Бенедиктович,2016-10-30,Чили
496,Гущин,Наум,Андреевич,2007-01-02,Испания
497,Ларионова,Ульян,Димитриевич,1972-10-04,Гамбия
498,Крылов,Гостомысл,Ануфриевич,1993-01-24,Гвинея-Бисау
499,Харитонов,Софон,Феликсович,1999-11-16,Чили
500,Копылов,Андроник,Валерьянович,1950-03-04,Таджикистан
501,Тихонов,Елизар,Игнатович,2017-10-12,Кипр
502,Назарова,Пров,Васильевич,1922-09-18,Судан
503,Мишина,Анатолий,Артемовна,2017-01-10,Бутан
504,Савельев,Гостомысл,Дорофеевич,2022-04-12,Уругвай
505,Мишин,Юлия,Натановна,1931-04-10,Белиз
506,Дмитриева,Зоя,Антоновна,1986-08-16,Израиль
507,Котова,Леон,Филимонович,1949-07-20,Кения
508,Гордеева,Орест,Денисович,2017-05-11,Перу
509,Воронцов,Осип,Борисовна,2021-07-26,Уганда
510,Афанасьев,Кондрат,Владимировна,1950-02-18,Ирландия
511,Белозеров,Регина,Никифоровна,1991-08-03,Египет
512,Борисова,Мирослав,Гертрудович,1919-06-27,Сирия
513,Маслова,Агафон,Адамович,1998-08-04,Вьетнам
514,Назарова,Григорий,Владиславович,1977-09-10,Словакия
515,Фокин,Синклитикия,Антипович,1962-09-15,Непал
516,Мамонтов,Леонид,Вадимовна,1954-10-15,Хорватия
517,Цветкова,Ферапонт,Ниловна,2008-03-01,Габон
518,Зайцева,Ярослав,Тимурович,1933-02-15,Ирак
519,Игнатова,Чеслав,Юлианович,1916-02-18,Саудовская Аравия
520,Казакова,Савва,Жоресович,1945-06-26,Алжир
521,Карпова,Тамара,Яковлевич,1976-11-22,Мавритания
522,Никонов,Осип,Гаврилович,1944-11-21,Кабо-Верде
523,Кузьмин,Милица,Денисович,1960-07-15,Армения
524,Русаков,Галина,Демьянович,1916-11-25,Кувейт
525,Цветков,Максимильян,Ильясович,1979-11-06,Намибия
526,Капустин,Осип,Ермолаевич,2017-05-16,Науру
527,Тихонов,Эраст,Сергеевна,1968-05-02,Афганистан
528,Пестова,Харитон,Тихонович,1973-09-23,Уганда
529,Федотов,Кондратий,Валерианович,1974-07-23,Уругвай
530,Волков,Валерьян,Федосеевич,1998-08-11,Мали
531,Рыбакова,Бронислав,Артемьевич,1975-04-09,Монако
532,Захаров,Кира,Владиленович,1910-03-07,Камбоджа
533,Борисов,Аким,Эдгарович,2014-12-05,Перу
534,Вишнякова,Арефий,Герасимович,1944-12-07,Германия
535,Муравьева,Венедикт,Елисеевич,1993-05-21,Барбадос
536,Макарова,Евграф,Афанасьевич,2010-02-26,Египет
537,Калинина,Антип,Ефимьевич,2014-05-15,Вануату
538,Семенова,Милий,Фомич,1970-09-28,Эритрея
539,Ефремова,Емельян,Александровна,1977-12-22,Палау
540,Мартынов,София,Захаровна,2002-10-19,Малави
541,Баранова,Потап,Богдановна,1999-06-27,Того
542,Фадеева,Мокей,Игнатович,1992-12-12,Лесото
543,Исаева,Кондратий,Павловна,1958-12-22,Коста-Рика
544,Шашков,Борислав,Павловна,2015-12-25,Ботсвана
545,Орлов,Константин,Елизарович,1926-07-24,Аргентина
546,Родионова,Самсон,Романовна,1936-10-12,Ирландия
547,Козлова,Симон,Ааронович,2013-12-05,Молдавия
548,Некрасова,Пантелеймон,Геннадиевна,1979-11-09,Уганда
549,Жданова,Нинель,Матвеевна,1994-09-20,Уганда
550,Агафонова,Эрнест,Кирилловна,1936-06-20,Куба
551,Осипов,Трифон,Яковлевич,1985-01-16,Тонга
552,Молчанов,Эраст,Марсович,1965-03-07,Тувалу
553,Титова,Юлиан,Семеновна,1988-12-24,Албания
554,Степанов,Мина,Эдуардович,1965-02-23,Мали
555,Исаева,Василиса,Абрамович,1927-05-23,Гондурас
556,Комаров,Иванна,Измаилович,1973-04-16,Чад
557,Комарова,Родион,Ермилович,1939-07-02,Намибия
558,Маркова,Кира,Захарьевич,1939-10-21,Кувейт
559,Родионов,Лука,Аркадьевна,1948-03-17,Республика Конго
560,Воронова,Виссарион,Тихонович,1966-10-24,Сент-Люсия
561,Михайлов,Светлана,Ефимовна,1947-09-05,Финляндия
562,Владимирова,Лукия,Алексеевна,1999-02-19,Кот-д’Ивуар
563,Горбачев,Ян,Эдуардовна,1968-05-12,Сент-Китс и Невис
564,Ефимова,Виссарион,Леонидовна,1953-04-27,Австрия
565,Кононов,Глафира,Григорьевич,1909-05-25,Бруней
566,Фомичева,Климент,Герасимович,1988-07-20,Швеция
567,Потапов,Чеслав,Святославовна,1967-02-28,Алжир
568,Комиссарова,Синклитикия,Филимонович,1911-09-19,Грузия
569,Зайцева,Майя,Анисимович,1916-07-24,Мальдивы
570,Громова,Владислав,Афанасьевна,1966-08-10,Южный Судан
571,Михеев,Ладислав,Яковлевич,1927-06-14,Мьянма
572,Казаков,Трофим,Антипович,2016-01-02,Польша
573,Лапин,Глеб,Иларионович,1962-01-07,Индия
574,Мишина,Степан,Максимовна,1926-02-07,Армения
575,Савина,Осип,Юльевна,1970-08-21,Новая Зеландия
576,Емельянов,Александр,Иосифович,1975-06-12,Ливия
577,Никифорова,Натан,Димитриевич,1976-01-05,Румыния
578,Кошелева,Исидор,Рудольфовна,1934-07-15,Новая Зеландия
579,Лыткин,Лукия,Харламович,1993-03-09,Эквадор
580,Панфилов,Авксентий,Павловна,1996-07-11,Камерун
581,Гуляев,Илья,Витальевич,1932-03-31,Тонга
582,Комиссаров,Елизавета,Вилорович,1921-07-31,Белоруссия
583,Лукина,Аркадий,Владиславович,2011-12-09,Багамские Острова
584,Селиверстова,Антип,Ефстафьевич,1943-04-23,Уганда
585,Колобов,Фадей,Зиновьевич,1943-02-21,Тонга
586,Тихонова,Изяслав,Дорофеевич,1992-09-24,Болгария
587,Белозеров,Иванна,Фокич,2007-06-22,Непал
588,Селиверстова,Серафим,Захаровна,2005-10-24,Катар
589,Кононова,Пелагея,Харитоновна,2011-06-11,Тувалу
590,Белоусов,Юрий,Тимуровна,1975-09-27,Самоа
591,Крылова,Ратмир,Анатольевна,1973-11-05,Шри-Ланка
592,Белоусов,Алина,Харитонович,1943-09-05,Таиланд
593,Лаврентьев,Владимир,Натановна,1977-07-15,Индия
594,Антонова,Виссарион,Сергеевна,1929-03-20,Таиланд
595,Воронцов,Алла,Борисович,1983-01-17,Греция
596,Федоров,Аникита,Гавриилович,1972-07-29,Мальта
597,Гришин,Анисим,Абрамович,2008-06-09,Южный Судан
598,Зайцева,Виктория,Ерофеевич,1974-12-08,Нигерия
599,Романов,Любосмысл,Венедиктович,2015-03-05,Антигуа и Барбуда
600,Филиппов,Евлампий,Романовна,1948-04-19,Монако
601,Маркова,Фёкла,Анисимович,1955-06-16,Алжир
602,Котова,Панфил,Федосеевич,1920-08-21,Бангладеш
603,Никифорова,Всеволод,Харламович,1989-06-21,Грузия
604,Осипова,Ладимир,Гертрудович,1945-07-01,Доминиканская Республика
605,Герасимов,Федосий,Борисовна,1918-02-12,Бутан
606,Сазонова,Аггей,Жоресович,2003-10-05,Боливия
607,Филиппов,Алина,Харлампович,1959-06-06,Вануату
608,Игнатьев,Андрон,Тимуровна,1974-01-19,Армения
609,Пестова,Терентий,Вилорович,1926-02-15,Малайзия
610,Родионова,Элеонора,Евсеевич,1945-08-28,Венгрия
611,Казаков,София,Ермолаевич,1975-06-06,Джибути
612,Громова,Валерий,Феофанович,1918-11-15,Кот-д’Ивуар
613,Ковалев,Касьян,Кузьминична,2012-09-06,Канада
614,Носова,Владилен,Валерианович,1941-02-21,Федеративные Штаты Микронезии
615,Панова,Орест,Филатович,1959-10-15,Руанда
616,Селиверстов,Вениамин,Устинович,1967-08-21,Джибути
617,Савин,Еремей,Бориславович,1977-02-15,Андорра
618,Шарапов,Геннадий,Архиповна,2000-02-03,Джибути
619,Виноградов,Федот,Олеговна,1986-03-23,Кирибати
620,Данилов,Лазарь,Харлампович,2018-09-02,Бразилия
621,Доронин,Олимпий,Иосифович,1954-01-30,Колумбия
622,Королева,Сергей,Трифонович,1956-02-17,Болгария
623,Архипова,Лука,Феодосьевич,2006-04-16,Ботсвана
624,Ларионов,Любомир,Фомич,1941-02-23,Северная Македония
625,Владимирова,Руслан,Валерьянович,1953-07-22,Ливан
626,Третьякова,Арефий,Матвеевич,1946-09-13,КНДР
627,Терентьева,Эммануил,Фролович,1932-04-22,Кот-д’Ивуар
628,Крылов,Симон,Теймуразович,1938-09-15,Судан
629,Исаев,Иванна,Феофанович,1983-08-31,Турция
630,Симонова,Макар,Филиппович,2004-08-16,Вануату
631,Мишина,Агафон,Афанасьевич,1965-03-24,Грузия
632,Константинов,Дементий,Мироновна,1977-04-03,Барбадос
633,Сазонова,Марфа,Федосьевич,2019-10-31,Тринидад и Тобаго
634,Фокина,Ярослав,Ждановна,1924-08-24,Литва
635,Степанова,Творимир,Дмитриевна,1953-06-12,Тувалу
636,Князев,Игнатий,Дмитриевна,1928-05-24,Чили
637,Васильева,Прокл,Владиславовна,1943-10-06,Албания
638,Королева,Сильвестр,Фокич,1972-09-20,Чад
639,Брагин,Рубен,Виленович,1960-01-30,Россия
640,Тарасов,Елена,Мироновна,2006-03-12,Нигерия
641,Пестов,Артем,Рубеновна,2011-03-04,Ливия
642,Медведев,Ананий,Фролович,1978-04-05,Гватемала
643,Потапова,Мстислав,Викторовна,1941-08-29,Румыния
644,Дементьева,Ермолай,Демидович,1952-03-13,Сингапур
645,Зуев,Иосиф,Юлианович,1949-11-25,Коморы
646,Петухова,Наум,Матвеевич,1939-06-09,Панама
647,Крюкова,Ростислав,Арсенович,1943-03-03,Нигерия
648,Тихонова,Людмила,Макаровна,1997-09-24,Молдавия
649,Горбунов,Назар,Феоктистович,1982-02-19,Япония
650,Сазонов,Твердислав,Ярославович,1923-07-28,Азербайджан
651,Зыков,Амос,Ефимьевич,2021-08-11,Босния и Герцеговина
652,Новикова,Еремей,Даниловна,1916-02-28,Габон
653,Воронцов,Ерофей,Ермилович,1939-10-21,Папуа
654,Степанова,Ананий,Кирилловна,1984-10-27,Монголия
655,Федорова,Ярополк,Данилович,1971-07-25,Сьерра-Леоне
656,Артемьева,Архип,Трифонович,1999-02-15,Тувалу
657,Симонов,Кира,Ярославович,2018-04-26,Непал
658,Гордеев,Валерий,Юльевич,1982-01-17,Швейцария
659,Русакова,Евстафий,Викторович,1975-11-04,Ямайка
660,Наумова,Севастьян,Вилорович,1952-06-16,Иран
661,Моисеев,Аркадий,Валентинович,1922-02-03,Гватемала
662,Капустин,Данила,Борисовна,1971-02-11,Чили
663,Титова,Стоян,Витальевич,1963-09-27,Андорра
664,Жукова,Максим,Григорьевна,2020-10-04,Суринам
665,Терентьев,Антонин,Геннадиевна,1981-07-04,Коста-Рика
666,Дорофеева,Валерьян,Рудольфовна,1907-10-26,Монголия
667,Цветков,Евгения,Станиславовна,1978-02-12,Гренада
668,Дмитриева,Лонгин,Адрианович,1994-03-21,Азербайджан
669,Виноградова,Леонид,Львовна,1922-03-02,Андорра
670,Шилова,Лука,Георгиевич,2009-02-01,Камерун
671,Панова,Эммануил,Якубович,1944-08-01,Аргентина
672,Миронова,Карл,Вилорович,2011-05-23,Катар
673,Титов,Ипатий,Григорьевич,2016-03-01,Колумбия
674,Большаков,Сидор,Глебович,1906-10-29,Демократическая Республика Конго
675,Якушева,Амвросий,Давидович,1958-10-21,Чад
676,Горшкова,Феликс,Олеговна,1945-01-03,Гаити
677,Владимирова,Порфирий,Эдуардович,1987-11-03,Суринам
678,Селиверстова,Вадим,Максимовна,1975-12-24,Тринидад и Тобаго
679,Исакова,Архип,Демьянович,1943-04-15,Германия
680,Соколова,Тамара,Антонович,1985-07-14,Ливия
681,Новиков,Фотий,Евсеевич,1915-03-16,Тринидад и Тобаго
682,Карпов,Елизар,Арсеньевич,2007-12-01,Кабо-Верде
683,Логинов,Наталья,Владленович,1954-05-04,Сомали
684,Молчанов,Аггей,Иосипович,2020-06-01,Австрия
685,Белозерова,Святополк,Даниилович,1971-09-08,Бангладеш
686,Кабанов,Кир,Владиславовна,1946-09-09,Болгария
687,Силин,Фортунат,Анатольевич,1952-10-24,Бразилия
688,Беляев,Клавдий,Дорофеевич,1996-03-17,Барбадос
689,Петров,Эраст,Бориславович,1912-05-19,Уругвай
690,Евдокимова,Автоном,Викторовна,1954-05-15,Монголия
691,Сидорова,Лариса,Дмитриевна,1947-12-12,Кирибати
692,Федотов,Модест,Аверьянович,2001-05-19,Ливия
693,Калинина,Будимир,Архиповна,1965-03-17,Монако
694,Калинин,Еремей,Евстигнеевич,1912-12-12,Буркина-Фасо
695,Афанасьева,Леон,Виленович,2005-06-29,Палау
696,Потапов,Якуб,Ааронович,1988-10-16,Швейцария
697,Сысоева,Потап,Ерофеевич,1958-11-05,Куба
698,Казакова,Радим,Ильясович,1921-10-24,Катар
699,Лебедева,Регина,Вениаминовна,2001-05-23,Афганистан
700,Горбачева,Оксана,Георгиевна,1913-09-14,Тувалу
701,Сафонов,Олимпий,Ефимовна,1970-11-12,Италия
702,Ширяев,Леонтий,Даниловна,2005-10-05,Судан
703,Галкин,Христофор,Феофанович,2009-07-20,Перу
704,Жукова,Галина,Аскольдовна,1918-02-03,Габон
705,Пахомова,Гостомысл,Аскольдовна,1908-05-11,Австралия
706,Воронова,Рубен,Дмитриевна,1944-12-15,Чад
707,Некрасов,Кузьма,Артемовна,1920-08-13,Ямайка
708,Авдеев,Вероника,Федотович,1973-09-15,Россия
709,Крюкова,Федор,Артемьевич,1927-06-27,Ямайка
710,Симонова,Прокофий,Иосифович,2006-10-17,Кувейт
711,Сорокин,Евфросиния,Евстигнеевич,1974-12-13,Туркмения
712,Афанасьева,Мина,Германович,1967-04-01,Таджикистан
713,Кириллова,Фёкла,Артемовна,1986-06-28,Аргентина
714,Туров,Элеонора,Гертрудович,1908-02-21,Гренада
715,Одинцов,Анастасия,Ивановна,2016-01-03,Иран
716,Ширяева,Назар,Яковлевна,1964-09-28,Восточный Тимор
717,Харитонова,Севастьян,Андреевна,1942-11-22,Эстония
718,Гущин,Радован,Тарасовна,1923-02-23,ЮАР
719,Михайлов,Поликарп,Сергеевна,1946-03-10,Боливия
720,Данилова,Лев,Ивановна,1909-07-18,Мавритания
721,Лазарев,Иван,Феодосьевич,1915-03-20,Польша
722,Орлова,Афанасий,Антоновна,1978-02-10,Аргентина
723,Доронина,Михей,Ярославович,1984-04-12,Ливан
724,Капустина,Измаил,Алексеевич,1939-01-24,Науру
725,Ермакова,Константин,Эдуардович,2013-02-10,Намибия
726,Тетерин,Гостомысл,Ильясович,2012-10-18,Норвегия
727,Шарова,Феофан,Львовна,1998-09-29,Габон
728,Владимиров,Иван,Харлампьевич,1974-09-15,Папуа
729,Журавлева,Давыд,Ефремович,2018-05-01,Чад
730,Волкова,Андроник,Демьянович,1978-05-06,Пакистан
731,Федоров,Анна,Адамович,1942-05-25,Бельгия
732,Соловьев,Панкрат,Натановна,2000-09-07,ЮАР
733,Козлов,Радован,Мироновна,1992-05-15,Мозамбик
734,Жданова,Зиновий,Аверьянович,1961-04-09,Бутан
735,Белова,Софон,Фадеевич,1933-11-04,Албания
736,Носов,Владислав,Денисович,2019-12-13,Ирландия
737,Лаврентьева,Рюрик,Алексеевич,2000-10-17,Доминика
738,Горшков,Чеслав,Рубеновна,1998-04-17,Антигуа и Барбуда
739,Миронов,Варфоломей,Аксёнович,1984-12-18,Гвинея
740,Крюкова,Эдуард,Максимовна,1925-10-02,Ирландия
741,Николаева,Милий,Вадимовна,1930-08-29,Узбекистан
742,Антонова,Яков,Артемьевич,1915-10-18,Камбоджа
743,Соколова,Кирилл,Тимурович,1984-02-05,Сан-Томе и Принсипи
744,Евдокимова,Наина,Васильевна,1919-12-16,Сальвадор
745,Мишин,Майя,Александровна,2017-12-19,Багамские Острова
746,Шестаков,Аникита,Аверьянович,1915-09-06,Эритрея
747,Григорьева,Кондрат,Владиленович,1959-04-05,Перу
748,Голубев,Марина,Григорьевич,2022-02-02,Сирия
749,Федотова,Радим,Эдгардович,1970-02-25,Азербайджан
750,Егоров,Касьян,Яковлевич,1923-03-10,Перу
751,Журавлева,Осип,Жанович,2017-09-27,Белиз
752,Воронцова,Дарья,Юльевич,1977-11-14,Иран
753,Щукин,Юрий,Валерьянович,1986-05-04,Центральноафриканская Республика
754,Егорова,Пимен,Еремеевич,1968-05-08,Израиль
755,Сафонов,Илья,Харлампьевич,1986-08-29,Коста-Рика
756,Веселова,Анна,Ивановна,1955-07-17,Буркина-Фасо
757,Муравьева,Варлаам,Рудольфовна,2016-03-30,Нидерланды
758,Гущина,Алина,Богдановна,1916-12-21,Колумбия
759,Дмитриева,Никон,Власович,1931-01-21,Бельгия
760,Лыткина,Валентин,Эдуардович,2022-01-26,Латвия
761,Шарапова,Никодим,Феофанович,1976-05-12,Руанда
762,Голубева,Евгения,Ильясович,1919-12-15,Республика Корея
763,Аксенова,Модест,Давыдович,1952-09-24,Гаити
764,Пономарева,Кузьма,Бенедиктович,2019-04-06,Ангола
765,Исакова,Владимир,Дмитриевич,1919-01-02,Эритрея
766,Калашников,Панкрат,Бориславович,1930-12-29,Грузия
767,Фадеева,Владимир,Степановна,1995-08-22,Ирландия
768,Капустина,Зосима,Егоровна,1947-04-07,Мальдивы
769,Пахомов,Давыд,Эдуардович,2018-09-20,ОАЭ
770,Маркова,Натан,Вячеславович,2018-04-11,Мальта
771,Туров,Трифон,Сергеевна,2008-12-26,Гвинея-Бисау
772,Крылов,Людмила,Фомич,1985-06-23,Эквадор
773,Емельянов,Ювеналий,Львовна,1945-07-03,Швейцария
774,Никифорова,Изот,Болеславовна,2017-08-09,Зимбабве
775,Голубев,Порфирий,Фокич,1959-04-11,Ботсвана
776,Большаков,Андроник,Святославовна,1941-03-06,Самоа
777,Гаврилова,Феофан,Дмитриевна,1931-04-04,Таджикистан
778,Блинов,Егор,Адамович,2011-06-01,Франция
779,Бурова,Панкрат,Руслановна,1913-08-29,Венесуэла
780,Елисеев,Давыд,Павловна,2006-12-21,Южный Судан
781,Федотова,Творимир,Владленович,1935-10-05,Гондурас
782,Петрова,Майя,Архипович,1984-12-16,Никарагуа
783,Фролов,Влас,Федосеевич,1995-05-21,Замбия
784,Беспалова,Елизавета,Архипович,1992-04-25,Сербия
785,Суворова,Глафира,Игнатович,1981-04-26,Ботсвана
786,Жукова,Авксентий,Афанасьевна,1912-06-14,Кения
787,Маркова,Дементий,Марсович,1968-04-04,Бразилия
788,Давыдова,Мир,Семеновна,2006-11-09,Австрия
789,Кириллова,Мариан,Гаврилович,1938-01-20,Австралия
790,Колобова,Ян,Владиславовна,1976-02-16,Кения
791,Сергеева,Юлия,Демидович,2001-01-16,Камерун
792,Логинова,Гурий,Анатольевич,1998-10-14,Китай
793,Рябова,Касьян,Вячеславовна,1913-02-26,Бутан
794,Елисеев,Всемил,Филатович,1931-07-14,Бангладеш
795,Гришин,Лаврентий,Богданович,2020-07-25,Намибия
796,Ильина,Радим,Матвеевна,1909-04-06,Фиджи
797,Туров,Богдан,Евгеньевна,1936-01-18,Бахрейн
798,Андреев,Панкратий,Венедиктович,1906-11-08,Кипр
799,Волков,Милица,Геннадиевна,1998-10-04,Тонга
800,Молчанов,Анастасия,Филимонович,1984-09-12,Непал
801,Блохина,Клавдия,Степановна,1973-10-10,Того
802,Мамонтова,Силантий,Ефимьевич,1986-05-11,Украина
803,Гордеев,Мирослав,Владиславовна,1925-07-13,ОАЭ
804,Дроздова,Зиновий,Егорович,1945-03-16,Канада
805,Шестакова,Касьян,Ааронович,1992-10-08,Фиджи
806,Селиверстов,Светозар,Ниловна,1967-06-05,Джибути
807,Куликова,Мирослав,Зиновьевич,1977-07-14,Бангладеш
808,Мартынова,Модест,Димитриевич,2000-01-18,Эквадор
809,Королев,Вышеслав,Харлампьевич,2014-05-05,Лихтенштейн
810,Баранов,Максим,Абрамович,1941-06-23,Антигуа и Барбуда
811,Исаева,Гостомысл,Геннадьевна,1972-08-10,Новая Зеландия
812,Петухова,Аверкий,Тимофеевна,1915-06-20,Ливан
813,Архипов,Авдей,Федоровна,1969-10-08,Эфиопия
814,Карпов,Натан,Аверьянович,1974-10-31,Кения
815,Маслова,Екатерина,Викторович,1909-11-03,Зимбабве
816,Белякова,Олимпиада,Жанович,2001-02-05,Австрия
817,Мясникова,Савватий,Юльевич,1977-11-06,Мали
818,Шарапова,Фотий,Филатович,2013-06-15,Эстония
819,Миронова,Галина,Артёмович,2018-11-30,Мальдивы
820,Филатов,Агафон,Германович,1977-10-02,Хорватия
821,Орехова,Ксения,Алексеевич,1923-12-27,Фиджи
822,Филатов,Никита,Архипович,1914-10-29,Андорра
823,Лихачева,Демид,Афанасьевич,1952-02-03,Бурунди
824,Егоров,Харлампий,Мироновна,1991-06-26,Молдавия
825,Козлов,Владислав,Викторовна,1947-06-01,Иордания
826,Хохлова,Захар,Харитонович,1915-04-08,Фиджи
827,Архипова,Федосий,Наумовна,1936-01-27,Турция
828,Сидорова,Леонтий,Артёмович,1921-12-08,Узбекистан
829,Маслова,Азарий,Викторовна,1950-11-04,Черногория
830,Шарапова,Федор,Ерофеевич,1963-12-13,Восточный Тимор
831,Емельянов,Анатолий,Эдуардович,1989-11-01,Черногория
832,Голубева,Павел,Ермолаевич,1912-10-12,Тонга
833,Блохин,Исай,Харитонович,1921-07-28,Кабо-Верде
834,Мартынов,Карл,Феликсович,2016-03-30,Израиль
835,Сысоева,Панкрат,Захарьевич,1934-08-18,Австрия
836,Филиппов,Константин,Степановна,1960-05-22,ОАЭ
837,Якушева,Максим,Гертрудович,1941-09-29,Польша
838,Ширяев,Олег,Ильинична,1997-07-22,Афганистан
839,Мартынов,Творимир,Даниилович,1947-04-03,Новая Зеландия
840,Воробьева,Феоктист,Федоровна,1960-10-16,Пакистан
841,Киселев,Артемий,Бориславович,2011-07-19,Иордания
842,Марков,Наина,Викторовна,1973-03-26,Марокко
843,Брагина,Фадей,Антонович,1986-02-25,Люксембург
844,Казаков,Порфирий,Юрьевна,1985-05-25,Гаити
845,Моисеева,Ипат,Геннадьевна,1935-06-17,Уругвай
846,Сидорова,Яков,Кузьминична,1955-07-10,Эритрея
847,Шаров,Дементий,Демьянович,1922-10-08,Лихтенштейн
848,Осипова,Ольга,Фадеевич,1960-09-06,Кипр
849,Артемьева,Юрий,Иларионович,2012-03-08,Сент-Винсент и Гренадины
850,Устинова,Моисей,Игоревич,1937-03-28,Финляндия
851,Захарова,Амвросий,Федосеевич,1908-11-29,Маврикий
852,Назарова,Гурий,Федоровна,1997-09-10,Мексика
853,Белоусова,Трофим,Рудольфовна,1986-04-24,Иордания
854,Гордеев,Фока,Игнатович,1987-12-16,Азербайджан
855,Стрелков,Севастьян,Брониславович,1942-12-22,Кот-д’Ивуар
856,Власова,Ефим,Игнатьевич,1938-02-14,Новая Зеландия
857,Крюкова,Давыд,Иларионович,2018-09-11,Багамские Острова
858,Никонов,Лука,Анатольевич,1926-05-17,Швейцария
859,Киселева,Таисия,Харлампович,1930-07-29,Армения
860,Смирнова,Остап,Кузьминична,1959-09-10,Парагвай
861,Шилова,Мина,Архипович,2022-06-12,Гвинея-Бисау
862,Колесников,Викентий,Арсенович,1980-07-05,Нидерланды
863,Смирнова,Аким,Ждановна,1965-11-14,Афганистан
864,Галкин,Софон,Григорьевна,1950-11-21,Азербайджан
865,Соловьева,Синклитикия,Эдуардовна,1961-12-12,Экваториальная Гвинея
866,Пономарев,Парамон,Устинович,1983-02-25,Непал
867,Жданов,Марина,Гордеевич,2013-07-06,Аргентина
868,Дмитриева,Еремей,Валерианович,1962-08-23,США
869,Брагин,Наина,Михайловна,2001-10-11,Йемен
870,Большаков,Будимир,Степановна,1915-12-06,Бутан
871,Ефимов,Гордей,Мироновна,1954-03-03,Саудовская Аравия
872,Гурьева,Иннокентий,Устинович,1992-03-12,Тонга
873,Сидоров,Лукия,Феликсовна,2009-02-06,Эритрея
874,Кулакова,Епифан,Авдеевич,2016-08-15,Румыния
875,Бурова,Сигизмунд,Феоктистович,1973-02-27,Румыния
876,Нестерова,Нинель,Евгеньевна,1916-11-28,Камбоджа
877,Гусев,Аверьян,Ермилович,2011-09-15,Словения
878,Никифоров,Антип,Германович,2011-10-08,Германия
